,,,,,,,
,"Glimmer & Gloom
Very Hard - Answer Key",,,,,,
,Original guide thread link,,,,,,
,Use 'find' to easily get to your number,,,,,,
,,,,,,,
,00000 0000,0,,,,,
,00000 0001,1,R2,R5,D2,,
,00000 0010,2,R5,D1,,,
,00000 0011,3,R2,D1,D2,,
,00000 0100,4,R2,R4,D2,D3,
,00000 0101,5,R4,R5,D3,,
,00000 0110,6,R1,R3,D4,D5,
,00000 0111,7,R4,D1,D3,,
,00000 1000,10,R1,D1,D4,,
,00000 1001,11,R3,R4,D3,D5,
,00000 1010,12,R1,R5,D4,,
,00000 1011,13,R1,R2,D2,D4,
,00000 1100,14,R3,R5,D5,,
,00000 1101,15,R2,R3,D2,D5,
,00000 1110,16,R3,D1,D5,,
,00000 1111,17,R1,R4,D3,D4,
,,,,,,,
,00001 0000,20,R1,R4,D2,D3,D5
,00001 0001,21,R3,D1,D2,D4,
,00001 0010,22,R2,R3,D4,,
,00001 0011,23,R3,R5,D2,D4,
,00001 0100,24,R1,R2,D5,,
,00001 0101,25,R1,R5,D2,D5,
,00001 0110,26,R1,R2,R5,D1,D5
,00001 0111,27,R1,D1,D2,D5,
,00001 1000,30,R1,R2,R3,R5,
,00001 1001,31,R1,R3,D2,,
,00001 1010,32,R1,R2,R3,D1,
,00001 1011,33,R1,R3,R5,D1,D2
,00001 1100,34,R2,D1,D4,D5,
,00001 1101,35,R1,R2,R3,R4,D3
,00001 1110,36,R2,R5,D4,D5,
,00001 1111,37,D2,D4,D5,,
,,,,,,,
,00010 0000,40,R1,R4,D1,,
,00010 0001,41,R3,D3,D4,D5,
,00010 0010,42,R1,R4,R5,,
,00010 0011,43,R1,R2,R4,D2,
,00010 0100,44,R1,R2,D1,D2,D3
,00010 0101,45,R1,R5,D1,D3,
,00010 0110,46,R1,R2,R5,D2,D3
,00010 0111,47,R1,D3,,,
,00010 1000,50,R4,D4,,,
,00010 1001,51,R1,R3,D1,D3,D5
,00010 1010,52,R4,R5,D1,D4,
